"followup_time","survival_diff","2.5%","97.5%"
0,0.00461285029842251,-0.00624314428622397,0.0243611649336266
1,0.00798558827852891,-0.00998739817778344,0.0399193052464262
2,0.0107048723318187,-0.0129312686490256,0.0513764517762142
3,0.0131020452659093,-0.0154867776335907,0.0612423348415748
4,0.0153993508178663,-0.0180619650348244,0.0716132157897794
5,0.0177810386144042,-0.0207878287605756,0.082067097537371
6,0.020437897597071,-0.024006296713703,0.0932594146939064
7,0.0236041010349776,-0.0280640006766681,0.105881864820437
8,0.0275906985785078,-0.0334649536941681,0.120709168323861
9,0.0327991656618202,-0.041082616738676,0.13854430508726
